verb_up,frequency,ftp,log_freq,log_ftp
act up,530,0.0038722168441432,6.272877006546167,-5.550048374714177
acting up,1586,0.0143298679404327,7.368970402194793,-4.2309757207677485
add up,24594,0.0037016585884614,10.110257789732392,-5.595265765941192
added up,2703,0.0044262118104285,7.902117546276448,-5.415775146062363
adding up,3192,0.0535041446872645,8.068402958569699,-2.873007469986829
adds up,7938,0.0895295902883156,8.97941663334301,-2.319392211310427
allowed up,533,0.0019352341633337,6.278521424165844,-6.245589836030953
ante up,227,0.0849673202614379,5.424950017481403,-2.3766930651477676
arm up,44,0.0017287744909719,3.784189633918261,-6.358612237672254
ate up,608,0.0134887375589313,6.410174881966167,-4.292319659596065
back up,16691,0.0010691618316036,9.722624930978418,-6.839810538632536
backed up,18954,0.1475029036004645,9.84977027003014,-1.7543219421559249
backing up,8070,0.1336805555555555,8.995908761263994,-1.8688006738978353
backs up,3588,0.0382059800664451,8.185350223178686,-3.2258082616438477
bandaged up,90,0.0705882352941176,4.499809670330265,-2.577688383238967
bang up,256,0.0018733608092918,5.545177444479562,-6.278146119226217
banged up,798,0.0506993006993006,6.682108597449809,-2.9298134899474633
barking up,384,0.0156037991858887,5.950642552587727,-4.144514036955041
batter up,33,0.0202578268876611,3.4965075614664802,-3.878748216543276
be up,79,3.109690753214942e-5,4.3694478524670215,-10.37837108259744
beam up,44,0.011340206185567,3.784189633918261,-4.467995802085069
bear up,211,0.0037334716100596,5.351858133476067,-5.586676293215655
bearing up,77,0.0187074829931972,4.343805421853684,-3.959946993709733
beat up,3713,0.0365978626848192,8.21959545417708,-3.2704810705938727
beaten up,1870,0.0683870967741935,7.533693709848633,-2.6117332253407053
beating up,1033,0.0305010893246187,6.940222469119639,-3.459016952550983
beef up,2313,0.0075239398084815,7.746300662231439,-4.882112980085822
bind up,378,0.077720207253886,5.934894195619588,-2.4737333491898754
binding up,110,0.051829268292682897,4.700480365792417,-2.9065795681230187
blaze up,28,0.0210016155088853,3.332204510175204,-3.8419306286077775
blazed up,25,0.118705035971223,3.2188758248682006,-2.0047506490782467
blew up,3144,0.1129748396645288,8.053251153549096,-2.0607082114773267
block up,377,0.0102850956333453,5.932245187448011,-4.566721104874786
blocked up,396,0.063960639606396,5.981414211254481,-2.6833896392802594
blocks up,169,0.0048476454293628,5.1298987149230735,-5.324402737023728
blow up,6436,0.0618648373983739,8.769662508112274,-2.718942071882892
blowed up,27,0.08130081300813,3.295836866004329,-2.424802725718296
blowing up,3012,0.0458786936236391,8.010359588919783,-3.0347900008051942
blown up,3050,0.1860299358517462,8.022896869601457,-1.4760159828932624
